Route Name,Final Destination,Speed_kmh,Turnaround_min,Trips_per_Bus_per_Day
Shirpur–Dhule,Dhule,30,5,2
Shirpur–Dhule,Dhule,30,5,2
Shirpur–Dhule,Dhule,30,5,2
Shirpur–Dhule,Dhule,30,5,2
Shirpur–Chopda,Chopda,30,5,2
Shirpur–Chopda,Chopda,30,5,2
Shirpur–Chopda,Chopda,30,5,2
Shirpur–Dhule,Dhule,30,10,2
Shirpur–Dhule,Dhule,30,10,2
Shirpur–Dhule,Dhule,30,10,2
Shirpur–Dhule,Dhule,30,10,2
Shirpur–Chopda,Chopda,30,10,2
Shirpur–Chopda,Chopda,30,10,2
Shirpur–Chopda,Chopda,30,10,2
Shirpur–Dhule,Dhule,30,15,2
Shirpur–Dhule,Dhule,30,15,2
Shirpur–Dhule,Dhule,30,15,2
Shirpur–Dhule,Dhule,30,15,2
Shirpur–Chopda,Chopda,30,15,2
Shirpur–Chopda,Chopda,30,15,2
Shirpur–Chopda,Chopda,30,15,2
Shirpur–Dhule,Dhule,30,20,2
Shirpur–Dhule,Dhule,30,20,2
Shirpur–Dhule,Dhule,30,20,2
Shirpur–Dhule,Dhule,30,20,2
Shirpur–Chopda,Chopda,30,20,2
Shirpur–Chopda,Chopda,30,20,2
Shirpur–Chopda,Chopda,30,20,2
Shirpur–Dhule,Dhule,30,30,2
Shirpur–Dhule,Dhule,30,30,2
Shirpur–Dhule,Dhule,30,30,2
Shirpur–Dhule,Dhule,30,30,2
Shirpur–Chopda,Chopda,30,30,2
Shirpur–Chopda,Chopda,30,30,2
Shirpur–Chopda,Chopda,30,30,2
Shirpur–Dhule,Dhule,35,5,2
Shirpur–Dhule,Dhule,35,5,2
Shirpur–Dhule,Dhule,35,5,2
Shirpur–Dhule,Dhule,35,5,2
Shirpur–Chopda,Chopda,35,5,3
Shirpur–Chopda,Chopda,35,5,3
Shirpur–Chopda,Chopda,35,5,3
Shirpur–Dhule,Dhule,35,10,2
Shirpur–Dhule,Dhule,35,10,2
Shirpur–Dhule,Dhule,35,10,2
Shirpur–Dhule,Dhule,35,10,2
Shirpur–Chopda,Chopda,35,10,2
Shirpur–Chopda,Chopda,35,10,2
Shirpur–Chopda,Chopda,35,10,2
Shirpur–Dhule,Dhule,35,15,2
Shirpur–Dhule,Dhule,35,15,2
Shirpur–Dhule,Dhule,35,15,2
Shirpur–Dhule,Dhule,35,15,2
Shirpur–Chopda,Chopda,35,15,2
Shirpur–Chopda,Chopda,35,15,2
Shirpur–Chopda,Chopda,35,15,2
Shirpur–Dhule,Dhule,35,20,2
Shirpur–Dhule,Dhule,35,20,2
Shirpur–Dhule,Dhule,35,20,2
Shirpur–Dhule,Dhule,35,20,2
Shirpur–Chopda,Chopda,35,20,2
Shirpur–Chopda,Chopda,35,20,2
Shirpur–Chopda,Chopda,35,20,2
Shirpur–Dhule,Dhule,35,30,2
Shirpur–Dhule,Dhule,35,30,2
Shirpur–Dhule,Dhule,35,30,2
Shirpur–Dhule,Dhule,35,30,2
Shirpur–Chopda,Chopda,35,30,2
Shirpur–Chopda,Chopda,35,30,2
Shirpur–Chopda,Chopda,35,30,2
Shirpur–Dhule,Dhule,40,5,3
Shirpur–Dhule,Dhule,40,5,3
Shirpur–Dhule,Dhule,40,5,3
Shirpur–Dhule,Dhule,40,5,3
Shirpur–Chopda,Chopda,40,5,3
Shirpur–Chopda,Chopda,40,5,3
